Name,Team,Batting,Base Running,Fielding,Positional,Offense,Defense,League,Replacement,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Fernando Vina","- - -",-46.96900051768129,-8.23150793503737,9.676069974899292,13.71431652456522,-55.20050845271866,23.390386499464512,11.519610195420682,148.24610831215978,127.95559655432632,12.381560981929145,11.683107506208273,"Fernando Vina",1189,123726
"Brad Wilkerson","- - -",22.452425778702683,4.976578488538507,6.544697463512421,-33.9071626663208,27.42900426724119,-27.36246520280838,9.74728473694995,115.65798713639379,125.47181093777655,12.357514794874973,55.260777490789906,"Brad Wilkerson",804,150415
"Alan Trammell","DET",9.521883058753698,0.20858625551045407,9,21.77467668056488,9.730469314264152,30.77467668056488,6.330557598383166,72.05818442627788,118.89388801949008,12.336866667411826,,"Alan Trammell",1013157,123437
"Quilvio Veras","- - -",11.799349740951985,-0.3983657562494045,1,8.822572827339172,11.400983984702581,9.822572827339172,3.9070544680580497,103.55754106119275,128.68815234129255,12.325868594123468,,"Quilvio Veras",1013404,123700
"Rajai Davis","- - -",-74.89564434570842,65.45410721132066,-9.287835985422134,-16.923863164149225,-9.441537134387758,-26.21169914957136,17.976401421707124,136.7753882687539,119.09855340650188,12.311408473101594,87.5900458661685,"Rajai Davis",3708,434658
"Matt Stairs","- - -",115.86961366194697,-19.25323423180089,-80.83168342709541,-93.90090281888843,96.61637943014608,-174.73258624598384,19.09429801092483,187.46303098462522,128.4411221797123,12.308357961126898,31.97557724161411,"Matt Stairs",1384,122644
"Wilmer Flores","- - -",35.77810231378331,-19.684400315396488,-8.752521857619286,-12.60859590768814,16.09370199838682,-21.361117765307426,8.735564748058096,117.28920851834118,120.75735749947867,12.301819254342416,97.87408685868061,"Wilmer Flores",5827,527038
"Martín Maldonado","- - -",-127.04734865869479,-25.58055419055745,80.32069465331733,71.48776699602604,-152.62790284925222,151.80846164934337,9.637865361873992,110.33172727748752,119.15015143945266,12.30133213729157,96.52752367863319,"Martin Maldonado",6887,455117
"Tony Graffanino","- - -",-39.58628385625613,7.166534686839441,41.84279891848564,8.606754902750254,-32.41974916941669,50.449553821235895,8.375844497000799,98.30280900932848,124.70845815814849,12.232832973286474,36.99454823704241,"Tony Graffanino",235,115017
"Christian Walker","- - -",40.008824193778324,4.855312837753445,35.309550028294325,-45.312640860676765,44.86413703153177,-10.00309083238244,6.490658271010034,79.68045804649591,121.03216251665526,12.162261171004506,97.26219297699238,"Christian Walker",13419,572233
"Chris Sabo","- - -",38.58573171039442,1.4136697576323058,-19,1.617502674460411,39.999401468026726,-17.38249732553959,10.028708307712805,83.0742169637233,115.71982941392324,12.15129197452068,,"Chris Sabo",1011357,121606
"Eddie Murray","- - -",42.27867575928332,0.8425880936410977,3,-78.53058338165283,43.121263852924415,-75.53058338165283,17.379350388539024,130.67009126581252,115.64012212562312,12.143885748229248,,"Eddie Murray",1009386,119579
"Danny Tartabull","- - -",119.79893201936976,-2.7294824726413935,-59,-55.354954555630684,117.06944954672836,-114.35495455563068,10.230097549501806,102.429852347821,115.3744448884205,12.128136641553965,,"Danny Tartabull",1012829,123096
"Charlie Hayes","- - -",-79.76972675182961,-4.078656282654265,20,3.345904277637601,-83.84838303448387,23.3459042776376,15.024017821182497,166.21811760030687,120.73965666464309,12.126081400389788,,"Charlie Hayes",1005525,115640
"Russell Branyan","- - -",47.06550905656725,1.5433520326187136,-9.995658874511719,-32.164238039636984,48.608861089185964,-42.1598969141487,11.333161421352997,104.26364802755415,122.0457736239444,12.104471302574655,52.620609086085175,"Russell Branyan",370,137140
"Tony Clark","- - -",57.896522640996345,-15.393182545274612,-11.92084838449955,-82.08567082881927,42.50334009572173,-94.00651921331882,17.22349891148042,159.67695862054825,125.39727841443158,12.10102812987346,21.553774449640372,"Tony Clark",182,112316
"Darrin Fletcher","- - -",-52.451815216650395,-2.3503391015401576,-26,63.61339503899217,-54.80215431819055,37.61339503899217,12.094200889579952,132.5309912711382,127.43643288151975,12.083989023447725,1.492778126800045,"Darrin Fletcher",1302,114233
