last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Crawford, Brandon,543063,SF,137,SS,36,L,0.00,0.54,0.85,1.12,1.37,1.60,1.81,2.02,2.23,2.42,2.62,2.81,3.00,3.19,3.38,3.57,3.76,3.95,4.16
Crawford, J.P.,641487,SEA,136,SS,28,L,0.00,0.55,0.86,1.12,1.36,1.59,1.80,2.01,2.20,2.40,2.59,2.77,2.96,3.14,3.32,3.50,3.68,3.87,4.07
Cron, C.J.,543068,LAA,108,1B,33,R,0.00,0.59,0.94,1.23,1.49,1.73,1.95,2.17,2.39,2.59,2.80,3.00,3.19,3.39,3.58,3.78,3.98,4.18,4.40
Cronenworth, Jake,630105,SD,135,1B,29,L,0.00,0.54,0.84,1.10,1.33,1.54,1.75,1.94,2.13,2.32,2.50,2.68,2.85,3.03,3.20,3.37,3.54,3.72,3.91
Cruz, Nelson,443558,SD,135,DH,42,R,0.00,0.57,0.91,1.19,1.45,1.69,1.92,2.14,2.35,2.56,2.76,2.96,3.16,3.36,3.55,3.75,3.95,4.15,4.37
Davis, Henry,680779,PIT,134,RF,23,R,0.00,0.56,0.88,1.14,1.38,1.60,1.81,2.01,2.20,2.39,2.58,2.76,2.94,3.12,3.29,3.47,3.64,3.81,3.99
Davis, J.D.,605204,SF,137,3B,30,R,0.00,0.55,0.87,1.14,1.39,1.62,1.84,2.05,2.25,2.45,2.65,2.84,3.03,3.21,3.40,3.58,3.77,3.95,4.15
Davis, Jonathan,641505,MIA,146,CF,31,R,0.00,0.56,0.87,1.13,1.36,1.57,1.78,1.98,2.17,2.35,2.53,2.70,2.88,3.05,3.22,3.39,3.56,3.73,3.91
Daza, Yonathan,602074,COL,115,CF,29,R,0.00,0.56,0.89,1.16,1.40,1.63,1.84,2.05,2.25,2.44,2.63,2.81,2.99,3.17,3.35,3.53,3.70,3.87,4.05
De La Cruz, Bryan,650559,MIA,146,LF,26,R,0.00,0.56,0.88,1.15,1.39,1.61,1.82,2.02,2.21,2.40,2.59,2.77,2.95,3.13,3.30,3.48,3.65,3.83,4.02
De La Cruz, Elly,682829,CIN,113,SS,21,R,0.00,0.55,0.86,1.11,1.33,1.54,1.74,1.92,2.11,2.28,2.46,2.62,2.79,2.95,3.11,3.26,3.42,3.58,3.74
De La Cruz, Elly,682829,CIN,113,SS,21,L,0.00,0.52,0.81,1.05,1.27,1.48,1.67,1.85,2.03,2.21,2.38,2.54,2.71,2.87,3.02,3.18,3.34,3.50,3.67
DeJong, Paul,657557,SF,137,SS,29,R,0.00,0.56,0.89,1.16,1.40,1.63,1.85,2.05,2.25,2.45,2.64,2.83,3.02,3.20,3.38,3.57,3.75,3.94,4.13
