last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Bell, Josh,605137,2021,568,400,0.261,0.277,-0.016,0.476,0.488,-0.012,0.352,0.367,-0.015
Tucker, Kyle,663656,2021,567,421,0.294,0.303,-0.009,0.557,0.576,-0.0189999999999999,0.383,0.396,-0.013
Segura, Jean,516416,2021,567,441,0.29,0.266,0.0239999999999999,0.436,0.396,0.0399999999999999,0.338,0.319,0.019
Lopez, Nicky,670032,2021,565,438,0.3,0.239,0.061,0.378,0.305,0.073,0.329,0.283,0.046
Hosmer, Eric,543333,2021,565,413,0.269,0.268,0.001,0.395,0.406,-0.011,0.319,0.326,-0.007
Pham, Tommy,502054,2021,561,351,0.229,0.253,-0.0239999999999999,0.383,0.438,-0.0549999999999999,0.318,0.35,-0.0319999999999999
Harrison, Josh,543281,2021,558,433,0.279,0.278,0.001,0.4,0.42,-0.0199999999999999,0.325,0.333,-0.008
Duvall, Adam,594807,2021,555,342,0.228,0.227,0.001,0.491,0.499,-0.008,0.324,0.33,-0.006
Adames, Willy,642715,2021,555,342,0.262,0.236,0.026,0.481,0.438,0.0429999999999999,0.349,0.325,0.0239999999999999
Newman, Kevin,621028,2021,554,485,0.226,0.255,-0.0289999999999999,0.309,0.33,-0.021,0.249,0.275,-0.026
Anderson, Tim,641313,2021,551,409,0.309,0.284,0.025,0.469,0.448,0.0209999999999999,0.345,0.329,0.0159999999999999
Rojas, Josh,668942,2021,550,351,0.264,0.232,0.032,0.411,0.352,0.059,0.327,0.295,0.032
Betts, Mookie,605141,2021,550,385,0.264,0.263,0.001,0.487,0.445,0.0419999999999999,0.365,0.357,0.008
Crawford, Brandon,543063,2021,549,383,0.298,0.259,0.0389999999999999,0.522,0.492,0.03,0.377,0.356,0.021
Báez, Javier,595879,2021,547,321,0.265,0.241,0.024,0.494,0.455,0.0389999999999999,0.344,0.325,0.0189999999999999
Cron, C.J.,543068,2021,547,357,0.281,0.261,0.02,0.53,0.481,0.049,0.383,0.364,0.019
Tatis Jr., Fernando,665487,2021,546,329,0.282,0.279,0.0029999999999999,0.611,0.615,-0.004,0.403,0.407,-0.0039999999999999
Smith, Pavin,656976,2021,545,393,0.267,0.253,0.014,0.404,0.397,0.007,0.318,0.312,0.006
Grichuk, Randal,545341,2021,545,401,0.241,0.234,0.0069999999999999,0.423,0.402,0.0209999999999999,0.3,0.297,0.003
Donaldson, Josh,518626,2021,543,351,0.247,0.269,-0.022,0.475,0.542,-0.067,0.353,0.388,-0.035
Dozier, Hunter,641531,2021,543,339,0.216,0.224,-0.008,0.394,0.388,0.006,0.293,0.299,-0.006
Gurriel Jr., Lourdes,666971,2021,541,405,0.276,0.272,0.004,0.466,0.462,0.004,0.333,0.339,-0.006
Díaz, Yandy,650490,2021,541,384,0.256,0.254,0.002,0.387,0.399,-0.012,0.325,0.332,-0.007
Andrus, Elvis,462101,2021,541,423,0.243,0.273,-0.03,0.32,0.375,-0.0549999999999999,0.27,0.308,-0.0379999999999999
Rojas, Miguel,500743,2021,539,423,0.265,0.249,0.016,0.392,0.345,0.047,0.311,0.292,0.019
Benintendi, Andrew,643217,2021,538,403,0.276,0.261,0.015,0.442,0.456,-0.014,0.328,0.331,-0.003
Peralta, David,444482,2021,538,397,0.259,0.243,0.016,0.402,0.345,0.057,0.314,0.293,0.021
O'Neill, Tyler,641933,2021,537,318,0.286,0.279,0.0069999999999999,0.56,0.582,-0.0219999999999999,0.384,0.392,-0.008
Realmuto, J.T.,592663,2021,537,349,0.263,0.253,0.01,0.439,0.416,0.023,0.336,0.329,0.007
Happ, Ian,664023,2021,535,312,0.226,0.22,0.006,0.434,0.396,0.0379999999999999,0.328,0.317,0.011
Votto, Joey,458015,2021,533,325,0.266,0.274,-0.008,0.563,0.592,-0.029,0.391,0.406,-0.015
Tapia, Raimel,606132,2021,533,422,0.273,0.25,0.023,0.372,0.318,0.0539999999999999,0.305,0.281,0.0239999999999999
Yastrzemski, Mike,573262,2021,532,341,0.224,0.221,0.003,0.457,0.431,0.026,0.326,0.318,0.008
Sanó, Miguel,593934,2021,532,288,0.223,0.216,0.007,0.466,0.439,0.027,0.332,0.322,0.01
Hays, Austin,669720,2021,529,385,0.256,0.245,0.011,0.461,0.432,0.029,0.328,0.316,0.012
