Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2023,"Joey Gallo","MIN",313,0.14376997,0.42811502,0.3358209,0.18045113,0.30351438,0.44736842,0.7508828,0.26691729,0.25,39.321513010330484,1.2979595792963934,0.32333671473539793,106.7003568059287,14128
2023,"Daniel Vogelbach","NYM",280,0.13571429,0.25357143,0.53521127,0.22406639,0.33214286,0.39004149,0.72218435,0.1659751,0.27044025,34.20890423990585,0.194223854316245,0.3191705358925686,105.39796470664943,14130
2023,"Byron Buxton","MIN",347,0.10086455,0.31412104,0.32110092,0.20723684,0.29394813,0.4375,0.73144813,0.23026316,0.25274725,40.16824244721301,-1.9856650306426706,0.3114297424537548,98.42889666214013,14161
2023,"Carlos Correa","MIN",487,0.10061602,0.22997947,0.4375,0.22916667,0.3100616,0.40046296,0.71052456,0.17129629,0.27272727,54.829213467634645,-4.332034203015835,0.3076016294562127,95.76960735364774,14162
2023,"Jorge Soler","MIA",513,0.10721248,0.24756335,0.43307087,0.23830735,0.32617188,0.50334076,0.82951264,0.26503341,0.25342466,76.46957490761196,14.14982120115672,0.3516112859342612,123.55385827967953,14221
2023,"Matt Olson","ATL",563,0.14742451,0.25044405,0.58865248,0.26793249,0.37833037,0.592827,0.97115737,0.32489451,0.28668942,108.03159827706459,39.637794501754065,0.4032751491477898,153.43302565295178,14344
2023,"Joey Meneses","WSN",516,0.06395349,0.1879845,0.34020619,0.28183716,0.32945736,0.41544885,0.74490621,0.13361169,0.33243968,65.08049420392122,2.3962974933346803,0.3239365164623704,101.19889488425042,14366
2023,"Harold Ramirez","TBR",342,0.05555556,0.17836257,0.31147541,0.3047619,0.34795322,0.44444444,0.79239766,0.13968254,0.34939759,48.35014866706197,6.8036461960918215,0.3423349365853427,123.56012899365618,14387
2023,"Anthony Santander","BAL",503,0.09145129,0.2306163,0.39655172,0.25,0.32270916,0.47321429,0.79592345,0.22321429,0.28434505,69.97390265772326,8.86895896503908,0.3396063972851949,116.84194522460265,14551
2023,"Harold Castro","COL",241,0.02489627,0.2406639,0.10344828,0.26724138,0.28333333,0.33189655,0.61522988,0.06465517,0.34857143,19.271259095107734,-10.005662236774745,0.2682440511882305,50.46787566938966,14691
2023,"Manuel Margot","TBR",280,0.06071429,0.18214286,0.33333333,0.24902724,0.3,0.3540856,0.6540856,0.10505836,0.2961165,26.743524026867036,-7.271156358722566,0.28700337686708993,85.12275128943688,14712
2023,"Kyle Farmer","MIN",278,0.05755396,0.24100719,0.23880597,0.24901186,0.30935252,0.38339921,0.69275173,0.13438735,0.30939227,30.325194456572493,-3.4465239262628953,0.3033762831482098,92.8343705231873,14813
2023,"Mike Yastrzemski","SFG",285,0.10175439,0.25964912,0.39189189,0.23320158,0.31448763,0.43873518,0.75322281,0.2055336,0.28571429,35.45082594244281,0.828740549967682,0.3218419217637607,102.9736172992082,14854
2023,"Tony Kemp","OAK",343,0.09912536,0.09037901,1.09677419,0.21355932,0.30267062,0.30508475,0.60775537,0.09152543,0.22727273,29.358241320293615,-12.309742152053648,0.27503507674978467,76.96673997447886,14894
2023,"Ryan McMahon","COL",509,0.11198428,0.3064833,0.36538462,0.25167038,0.33595285,0.4610245,0.79697735,0.20935412,0.33576642,71.89367828485247,10.059848583905675,0.34217838881283824,100.02745771145621,15112
2023,"Trey Mancini","CHC",263,0.07984791,0.29657795,0.26923077,0.23404255,0.29885057,0.33617021,0.63502078,0.10212766,0.32692308,23.564670691008573,-8.38483267117023,0.2798693888462507,73.49841676809761,15149
2023,"Tim Anderson","CHW",402,0.05472637,0.2238806,0.24444444,0.24,0.28606965,0.28533333,0.57140298,0.04533333,0.31118881,28.21891729712747,-20.616445256469028,0.25645989135130126,58.26902532285711,15172
2023,"Jake Bauers","NYY",236,0.1059322,0.34322034,0.30864198,0.20673077,0.28813559,0.43269231,0.7208279,0.22596154,0.26890756,26.736870351519137,-1.9326459734778134,0.3084536063469062,95.7418915038246,15194
2023,"Adam Frazier","BAL",373,0.06970509,0.12064343,0.57777778,0.23809524,0.29891304,0.41071429,0.70962733,0.17261905,0.23928571,41.89780319679005,-3.414610316870384,0.30728902683957765,94.39191886440969,15223
2023,"Mike Tauchman","CHC",287,0.13240418,0.20209059,0.65517241,0.26748971,0.36713287,0.40740741,0.77454028,0.1399177,0.32044199,40.5306030963103,5.665555701080962,0.3421502369683939,115.24644483363234,15274
2023,"Garrett Cooper","2 Tms",362,0.06077348,0.29005525,0.20952381,0.25519288,0.3038674,0.43026706,0.73413446,0.17507418,0.32876712,43.40251660513992,-0.5736058933723409,0.31642193754733594,100.1164250178515,15279
2023,"Jeff McNeil","NYM",525,0.0647619,0.10285714,0.62962963,0.26595745,0.33460803,0.35319149,0.68779952,0.08723404,0.28813559,58.901457698331726,-4.876068024648771,0.3071282067216833,97.3257641609124,15362
2023,"Kris Bryant","COL",275,0.09090909,0.17454545,0.52083333,0.25102881,0.33576642,0.37860082,0.71436724,0.12757201,0.28342246,33.33348261505246,-0.07379276365160878,0.3180099129676819,83.82687216538281,15429
